File,Zero_Crossing_Rate,RMS_Energy,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,MFCC_1_mean,MFCC_1_std,MFCC_2_mean,MFCC_2_std,MFCC_3_mean,MFCC_3_std,MFCC_4_mean,MFCC_4_std,MFCC_5_mean,MFCC_5_std,MFCC_6_mean,MFCC_6_std,MFCC_7_mean,MFCC_7_std,MFCC_8_mean,MFCC_8_std,MFCC_9_mean,MFCC_9_std,MFCC_10_mean,MFCC_10_std,MFCC_11_mean,MFCC_11_std,MFCC_12_mean,MFCC_12_std,MFCC_13_mean,MFCC_13_std,Spectral_Contrast_1,Spectral_Contrast_2,Spectral_Contrast_3,Spectral_Contrast_4,Spectral_Contrast_5,Spectral_Contrast_6,Spectral_Contrast_7,Species
Greater_Prairie_Chicken_1_segment.wav,0.22913079140081208,0.019718997,3050.9911965694378,1830.987507725878,4894.906750743185,-371.24564,46.013123,-15.372066,19.293522,-131.8201,28.575253,-25.394096,17.605469,-44.17498,18.96554,11.220868,15.517257,-15.686209,16.536795,11.939455,9.843154,-5.5788207,9.31797,3.180872,11.864015,-18.31274,10.439676,2.3043456,12.457196,-6.0747128,13.274072,26.65003790601304,28.36087555067485,19.811753535867922,16.940978562325586,17.54694247197481,18.031722744489944,57.77016698815212,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_20_segment.wav,0.373087659512761,0.0007590346,4372.2079602740805,2218.0667443697575,6695.3023605169665,-600.9727,16.90381,-41.576584,11.015481,-78.87005,8.152491,-16.029842,7.612323,-49.251488,9.228648,10.597819,9.968406,-22.447468,12.144794,0.21847339,9.27568,-14.804314,7.3256216,-8.890993,8.7043295,-20.812199,7.821402,-0.20822144,7.770394,-12.331621,7.431558,26.559562180518938,25.17568697576443,15.693587989972013,14.19786776748306,15.125249280858567,17.673760158291763,54.67556299770576,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_21_segment.wav,0.2658141948230858,0.0007866053,3537.0947425614513,2136.9136591033725,5791.7821472592805,-626.3454,29.20972,-7.3517365,21.168633,-82.1409,11.977563,-10.417286,20.405466,-47.161488,19.490595,0.9936421,14.514955,-17.885836,11.827989,3.7969356,9.948477,-10.393571,9.549776,-3.7862613,10.273498,-18.67331,9.952432,0.97237146,9.777563,-7.760682,9.100661,26.83590789219172,24.859399417524372,18.96502404114688,15.640798135651886,17.564103865134975,18.373805040513602,54.6781046492837,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_22_segment.wav,0.40975406938805103,0.0007100097,4528.187398698834,2228.1243760181,7120.795456605279,-603.25684,20.767809,-52.57548,16.987423,-99.97368,8.820549,-12.817485,9.267025,-60.086525,11.923974,20.515612,10.164179,-28.444035,11.322525,24.752434,8.053016,-20.87558,7.6603928,19.465149,7.793937,-13.818727,8.740832,14.108013,8.47151,-6.05711,8.754456,25.248983432698427,19.62820594477209,19.667089549737714,14.019175039558236,14.391086060672205,16.43731035991915,29.580402463532444,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_23_segment.wav,0.2367869507685615,0.03194699,3335.1699288741374,1965.2839128065132,5467.260289026247,-455.86285,106.77165,-31.058952,53.37796,-88.0879,42.523167,-2.6968915,18.719261,2.8721225,13.932436,8.217637,9.873447,-5.680109,12.076296,4.8767333,8.628993,-2.106451,8.534129,-0.885517,10.048387,1.4581494,9.060779,4.73309,13.120129,2.1557004,10.5529785,26.77620261241965,20.124772317909866,19.78415289262159,18.845256040707532,19.344153923421054,18.10652118726456,55.920080713930005,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_24_segment.wav,0.25638730785962877,0.0066534085,3433.2971866032954,1951.3127272428299,5464.912120704032,-573.4247,94.17001,-11.364208,31.461384,-77.182724,55.450764,2.3759794,22.595758,-20.854,23.52383,13.478727,13.67812,-2.791516,14.462259,4.443609,12.966762,-8.986495,14.484469,-6.3519473,12.385346,-11.68308,12.4733,-7.608251,13.843454,2.1273792,14.550057,27.046335523543434,26.854320933218055,18.097457286165707,19.695620068301388,18.59275010449711,18.38428700085498,56.99284942378074,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_25_segment.wav,0.25419627320185617,0.0014109494,3300.424862220502,1925.6973511143585,5278.182778059745,-611.9957,64.27109,-1.0580816,26.120554,-99.855934,34.647617,-8.735347,24.931753,-46.19536,18.095129,7.2266207,12.772684,-18.335915,18.062675,-1.7032691,10.092202,-13.925825,13.694454,-5.8930306,9.330316,-15.034599,9.134619,-1.878953,11.241269,-1.4011015,11.363876,26.840508961669638,25.355579433123964,16.2862303255689,15.852843121027394,18.265952826835516,18.516702038395824,55.6688265866693,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_26_segment.wav,0.24375883664443154,0.006064073,3411.7395244205727,2040.6118788539611,5481.399259987674,-565.80975,117.95656,-5.3279634,26.993528,-79.52831,63.25575,-1.7093182,20.964298,-23.039524,13.925937,8.425502,12.410814,-13.260038,16.564123,3.300415,12.895496,-15.361344,8.37509,-6.9170523,11.570908,-14.618105,11.946238,-6.2549925,12.933152,-0.59040666,12.397788,26.98643136905072,27.989202182129556,19.46568994621984,19.26818806995188,18.609500937021703,17.997986097582015,56.014111430532964,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_27_segment.wav,0.16985729952146172,0.0064571328,2721.043992189771,1972.3625317601468,4925.0332507069315,-479.05096,49.10177,15.503134,22.248352,-108.862854,22.756624,-35.825024,18.848093,-38.277435,22.653734,6.578574,17.958277,-26.907242,17.296925,3.0380507,11.2122555,-19.34594,11.065259,3.5901752,13.970168,-6.345662,16.380648,-1.3075389,12.670426,0.032685954,11.70703,26.477543450789966,28.08863666929956,19.84591875526194,20.188429974764837,19.865870136340522,19.362850687829365,58.84733617044438,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_28_segment.wav,0.30333594656322505,0.0056958017,3960.644763911744,2341.9860955275585,6636.448269377175,-399.14218,10.161564,-54.39378,9.014198,-122.82064,6.8174686,-55.71761,5.415867,-59.46132,8.267768,1.07469,7.4466276,-26.299559,7.2851806,3.68912,5.1739893,-16.089607,5.986862,-1.7639809,6.6434073,-12.349181,7.2528963,0.8450835,6.669798,-8.982474,5.9552484,26.658886484288868,24.99657908506879,17.691473854427876,13.522275120988192,14.778230379020199,16.115298196367643,54.24450493985945,Greater Prairie Chicken_filtered
