File,Species,Chroma_Mean,Spectral_Centroid,Spectral_Bandwidth,Spectral_Contrast,Spectral_Flatness,Zero_Crossing_Rate,RMS_Energy,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
Greater_Flamingo_6_segment.wav,flamingo,0.75853354,1852.0510723598331,2914.0116934392577,"[22.220444546331024, 9.487107569546966, 12.169225945664076, 13.819391796065405, 14.698534423523645, 15.21138580517981, 29.154949787614246]",0.0010043378,0.01465855731865285,0.025097135,-417.36423,87.22275,-16.551893,18.177654,-2.3393407,21.716543,6.4075594,11.728856,13.900282,8.678146,18.090044,13.175478,13.064257
Greater_Flamingo_7_segment.wav,flamingo,0.64255935,2241.367469732857,2821.0829173619722,"[22.786439543312717, 9.422932529980091, 12.055813876492628, 14.465168121676092, 16.189891119879928, 15.128418817765079, 30.851635445361165]",0.0013950899,0.02510826427715655,0.021227883,-390.3182,89.61902,-42.80197,27.307304,-8.397083,20.17865,-2.599577,12.460334,11.410941,3.4487758,8.700766,13.134047,13.992855
Greater_Flamingo_8_segment.wav,flamingo,0.6407619,1432.218168925379,2671.2979345409212,"[10.507320395803145, 9.272212303790802, 13.039250927857045, 13.311610774092035, 16.296724707656356, 15.244990807865138, 29.2010120104099]",0.00021971707,0.020942280851218097,0.018127924,-395.6057,172.69698,18.821798,7.9835835,3.4932618,10.992553,11.368666,10.484202,1.889592,1.4871951,-3.3752475,-2.0844178,1.1965314
Greater_Flamingo_9_segment.wav,flamingo,0.793824,1555.7018337166141,3258.803987998966,"[22.982246052864554, 10.687282218361265, 12.37141842740272, 15.039253060120169, 15.93164868050656, 14.240497842764464, 23.853540788331014]",0.00020875003,0.0006614416932907349,0.013120177,-530.66724,80.81237,9.420295,13.235113,6.6269236,24.500355,8.221746,25.318201,18.016174,19.789711,3.5413568,15.930572,11.43979
Magpie_Goose_10_segment.wav,Magpie Goose,0.35623586,2640.1900250425097,2080.232830132308,"[17.427018665753764, 12.149512840677412, 15.841062719246503, 17.128256727609564, 19.901642450496666, 25.854487918106482, 37.63858524596009]",0.000121289144,0.09508574593550106,0.023471896,-359.64273,146.56783,-72.57768,2.9029539,-8.770868,-38.02236,8.311584,0.023868797,-24.367592,-21.40053,-18.074286,-11.60357,-15.5090885
Magpie_Goose_11_segment.wav,Magpie Goose,0.28264368,2451.7261325826817,1993.656345598249,"[10.22730183754441, 16.402502474963896, 18.208803403922364, 20.65446602585729, 22.88930956608214, 30.84724266554408, 29.625872928012214]",0.00026671664,0.0875475787913113,0.021152738,-441.66092,133.92407,-38.26376,-12.3869295,3.654701,-17.43962,8.351008,23.543627,-2.744303,-16.475761,0.9579524,-10.142392,-26.33494
Magpie_Goose_12_segment.wav,Magpie Goose,0.44925985,2769.4726647100024,2715.9919320874797,"[11.69353289733173, 9.240244793613869, 12.544630881556996, 14.013066998199967, 15.636736556048174, 18.02834637719838, 32.00209494844998]",0.0016302741,0.08704717861803944,0.0064744507,-430.00467,143.07767,-61.09339,9.157906,-26.625435,-4.6835074,-10.740124,-4.9681473,-11.826811,-11.613599,-8.75501,-2.215111,-4.618625
Magpie_Goose_13_segment.wav,Magpie Goose,0.5153963,1937.5609249436682,2207.9008553503168,"[14.802993646935064, 9.677566475358114, 11.403647725412782, 13.320670087813252, 17.16165338194846, 18.18342542182967, 30.102399672358363]",0.00040778524,0.053471328487529,0.006518073,-459.88544,170.0695,-39.589535,2.1636102,-14.657648,-14.109048,-1.8335307,-17.153236,-10.795764,-7.9266214,-11.672026,-1.8407855,-6.703765
Magpie_Goose_14_segment.wav,Magpie Goose,0.38251746,4072.2735480837464,2971.05941981592,"[12.494985267158912, 9.848171924699932, 14.81627184647985, 16.923948091414143, 19.204309972350956, 23.81751926751504, 45.4721978317758]",0.00042736827,0.14772798257595948,0.02798353,-289.53592,127.12422,-100.964645,45.24166,-22.810116,1.9240096,-10.427817,6.032813,-28.262568,-1.5322992,-29.456522,20.763987,-6.397639
Magpie_Goose_15_segment.wav,Magpie Goose,0.40064892,3806.2766894692118,2985.156820357205,"[11.053199236646964, 9.882113172151566, 13.446552372089203, 15.70074917328283, 16.55016198296686, 17.500562508840886, 39.868965123436176]",0.0011321034,0.12755853128331557,0.013700707,-344.80493,123.26164,-101.877754,40.537254,-31.126696,0.6149379,-27.40268,2.1934454,-30.928226,3.1708562,-19.885145,-8.735614,-0.07503281
Magpie_Goose_16_segment.wav,Magpie Goose,0.70307225,2930.1829261656703,4162.399693230693,"[19.114475760260618, 12.018333762777456, 13.234766356757062, 13.739102673272171, 17.032122110767567, 15.037050715167608, 31.357462569621664]",0.001679043,0.04121849256805157,0.020309934,-488.7501,82.269966,37.143738,48.2124,28.453852,21.149065,23.526093,25.30532,9.298331,17.027287,3.4803677,4.791889,5.885973
Magpie_Goose_17_segment.wav,Magpie Goose,0.5643637,2693.9648302572623,3773.0557031151634,"[15.465577344450997, 10.003887831937227, 13.013179340149147, 15.129549047782481, 19.018859299805214, 16.98723355810171, 28.351497345802187]",0.0012251264,0.036783854166666664,0.008918706,-484.39847,115.14201,-6.1020784,-4.417679,3.1226273,18.623575,8.101751,9.954868,0.049253453,3.3235297,5.1143947,4.0148396,9.212546
Magpie_Goose_18_segment.wav,Magpie Goose,0.4202874,4052.767246836044,3455.550175988674,"[9.33641966035025, 7.968061038303525, 11.853653484988405, 14.192066048475695, 16.66593071090765, 18.712145754580344, 30.507393888340612]",0.007775192,0.1370348299738979,0.006925388,-467.36877,95.201195,-45.211918,34.617878,1.9430815,-2.0820007,-2.200108,8.077426,-9.794215,11.115761,-14.527827,-0.05754624,5.888469
